"id","current_age","retirement_age","birth_year","birth_month","gender","address","latitude","longitude","per_capita_income","yearly_income","total_debt","credit_score","num_credit_cards","retirement_status","age_group","Debt_to_Income_Ratio","credit_limit_user"
1590,48,62,1971,5,"Female","781 East Street",29.45,-98.5,10059,20513,32509,599,1,"Not Retired","46-60",1.58479988300102,4147
1660,41,68,1978,4,"Female","40 Washington Drive",36.73,-102.51,11342,23123,5079,723,6,"Not Retired","31-45",0.219651429312805,29278
1747,54,71,1966,1,"Male","3994 Hillside Drive",32.15,-94.79,17898,36497,38333,719,6,"Not Retired","46-60",1.05030550456202,85303
153,76,71,1943,8,"Female","172 Birch Street",35.29,-111.32,21950,27484,16803,660,4,"Retired","60+",0.611373890263426,84046
429,22,68,1997,11,"Male","8145 Spruce Boulevard",35.19,-80.83,26481,53995,89056,683,3,"Not Retired","18-30",1.64933790165756,40314
511,66,68,1953,10,"Male","153 Tenth Lane",32.21,-110.88,17460,35602,55369,661,5,"Not Retired","60+",1.5552216167631,36062
309,28,57,1991,8,"Male","2473 Lake Avenue",32.07,-82.91,12321,25122,43205,819,3,"Not Retired","18-30",1.71980734017992,23444
777,18,65,2002,1,"Male","970 Essex Drive",37.37,-122.21,106305,216740,0,700,2,"Not Retired","18-30",0,145637
1946,76,66,1943,6,"Male","9186 Washington Avenue",41.47,-81.67,19524,41109,21486,698,2,"Retired","60+",0.52265927169233,16988
1674,70,64,1949,4,"Male","5073 Wessex Avenue",35.49,-90.35,14172,26858,11245,712,2,"Retired","60+",0.418683446272991,32232
482,45,65,1975,1,"Male","195 Eighth Boulevard",42.39,-122.93,17131,34929,63849,714,1,"Not Retired","31-45",1.82796530103925,12100
877,36,63,1983,8,"Female","801 Mill Boulevard",33.44,-111.85,16829,34317,61826,610,3,"Not Retired","31-45",1.80161436022962,33681
128,40,66,1979,4,"Female","6914 Wessex Avenue",29.76,-95.38,15389,31377,59615,722,2,"Not Retired","31-45",1.89995856837811,21401
775,37,58,1982,9,"Male","776 Norfolk Boulevard",34.17,-118.46,21402,43638,104052,627,1,"Not Retired","31-45",2.38443558366561,17816
1536,41,67,1978,11,"Male","2015 Bayview Avenue",36.15,-85.5,15955,32531,38260,766,2,"Not Retired","31-45",1.17610894223971,27207
140,37,72,1983,2,"Female","108 Washington Street",36.28,-86.83,20657,42120,72801,739,4,"Not Retired","31-45",1.7284188034188,70587
1884,18,64,2001,5,"Male","660 Seventh Drive",39.98,-82.98,28092,57281,89114,850,1,"Not Retired","18-30",1.55573401302352,74
1874,49,66,1970,9,"Male","7505 Tenth Boulevard",25.77,-80.2,18828,38390,87923,783,4,"Not Retired","46-60",2.29025787965616,76670
1310,33,69,1986,9,"Female","4930 Birch Drive",33.92,-78.02,17498,35670,58182,751,2,"Not Retired","31-45",1.63111858704794,17700
1689,21,66,1998,9,"Female","93 Plum Lane",41.29,-72.36,30281,61746,154817,637,2,"Not Retired","18-30",2.50732031224695,32415
379,47,65,1972,11,"Female","837 Lincoln Avenue",30.68,-88.04,21331,43496,114563,765,3,"Not Retired","46-60",2.63387437925326,54260
34,41,55,1978,8,"Male","7467 Spruce Drive",38.48,-121.34,25431,51854,72162,737,2,"Not Retired","31-45",1.39163806070891,10880
822,51,68,1968,4,"Female","6323 Sussex Boulevard",32.61,-117.03,16942,34540,22641,793,5,"Not Retired","46-60",0.655500868558193,59659
1499,46,62,1973,11,"Male","8738 Fourth Street",41.97,-88.14,20248,41287,88151,662,1,"Not Retired","46-60",2.13507883837528,23700
1780,46,70,1973,10,"Male","9344 Mill Drive",36.62,-121.82,18663,38054,63293,666,1,"Not Retired","46-60",1.66324170915016,700
1806,59,62,1961,2,"Female","299 11th Street",42.31,-71.64,39418,80371,108499,822,1,"Not Retired","46-60",1.34997698174715,7488
811,91,68,1929,2,"Female","5492 Maple Drive",38.9,-94.68,51642,84694,2149,741,7,"Retired","60+",0.0253736982548941,255981
1844,79,72,1941,2,"Male","829 Birch Boulevard",27.8,-97.39,23608,37503,14272,706,5,"Retired","60+",0.380556222168893,66396
1852,57,75,1962,12,"Male","41011 Seventh Boulevard",33.27,-111.94,32056,65357,21844,685,4,"Not Retired","46-60",0.334225867160365,71516
1231,26,52,1994,1,"Female","613 Little Creek Lane",26.41,-81.42,10819,22066,38967,842,1,"Not Retired","18-30",1.76592948427445,9090
970,42,66,1977,11,"Male","1942 Rose Avenue",29.1,-81,21916,44681,42011,770,3,"Not Retired","31-45",0.940243056332669,41542
381,26,69,1994,2,"Male","5101 Birch Lane",38.72,-90.47,25163,51306,68198,675,1,"Not Retired","18-30",1.32924024480568,18100
1134,18,59,2002,2,"Female","7 11th Drive",29.45,-98.5,12677,25847,46379,568,1,"Not Retired","18-30",1.79436685108523,7200
1296,60,64,1959,11,"Female","2468 Spruce Drive",28.7,-81.34,22896,46683,93126,788,5,"Not Retired","46-60",1.99485894222736,62290
1880,61,66,1958,11,"Male","8001 Essex Boulevard",43.06,-87.96,15487,31579,52419,771,3,"Not Retired","60+",1.65993223344628,35151
322,47,65,1972,10,"Male","708 George Street",31.22,-84.21,13759,28055,12475,829,3,"Not Retired","46-60",0.444662270540011,13458
461,42,68,1977,12,"Female","28 Hillside Boulevard",42.3,-83.48,32078,65403,80057,784,4,"Not Retired","31-45",1.2240570004434,106862
1165,55,73,1964,11,"Female","446 Birch Drive",36.37,-84.12,13522,27572,59404,797,1,"Not Retired","46-60",2.15450456985347,14695
1448,48,70,1971,12,"Female","578 Maple Avenue",35.05,-82.09,18899,38539,0,850,3,"Not Retired","46-60",0,47750
1288,41,57,1978,7,"Female","14 Valley Drive",38.47,-81.81,18666,38059,68220,634,2,"Not Retired","31-45",1.79248009669198,19847
1178,59,68,1960,11,"Female","2475 Little Creek Boulevard",30.56,-97.86,25872,52754,38191,693,5,"Not Retired","46-60",0.72394510368882,88680
1391,45,59,1975,2,"Male","9604 Catherine Drive",40.72,-73.86,25109,51196,67164,631,4,"Not Retired","31-45",1.31189936713806,38782
838,26,70,1993,7,"Male","349 First Drive",33.78,-84.44,24382,49713,91776,763,1,"Not Retired","18-30",1.84611670991491,13800
54,21,68,1998,4,"Female","7914 Essex Boulevard",41.66,-83.58,21660,44160,134173,696,3,"Not Retired","18-30",3.03833786231884,30661
1452,46,59,1973,5,"Female","524 Ocean Drive",29.76,-95.38,95039,193773,241571,660,1,"Not Retired","46-60",1.24667007271395,53466
1602,41,66,1979,2,"Female","2079 Maple Drive",40.38,-77.88,14650,29864,44902,717,2,"Not Retired","31-45",1.50354942405572,13800
1938,22,67,1997,7,"Male","295 Valley Drive",29.45,-98.5,28135,57367,115418,795,2,"Not Retired","18-30",2.01192323112591,6268
1492,63,58,1957,2,"Female","2883 Ocean View Boulevard",47.32,-121.99,32697,56635,13015,786,8,"Retired","60+",0.229804890968482,141942
688,44,67,1975,3,"Male","5125 Elm Drive",41.31,-111.96,23165,47227,151030,760,4,"Not Retired","31-45",3.19795879475724,62011
749,22,68,1997,10,"Male","4098 Park Drive",32.75,-97.33,12051,24574,80667,674,3,"Not Retired","18-30",3.28261577276797,24673
643,29,65,1991,1,"Female","892 Spruce Street",40.69,-73.75,21283,43397,42168,697,2,"Not Retired","18-30",0.971680070050925,10500
1219,28,72,1991,6,"Female","9977 Oak Avenue",38.68,-76.17,28497,58105,70254,688,3,"Not Retired","18-30",1.20908699767662,73600
1198,82,67,1937,6,"Male","79 South Boulevard",29.5,-97.44,15092,10869,1820,820,2,"Retired","60+",0.167448707332781,19064
898,90,66,1929,6,"Female","145 River Drive",40.59,-75.47,12427,19893,1712,566,3,"Retired","60+",0.0860604232644649,18307
882,63,65,1956,8,"Male","7605 Essex Boulevard",40.39,-82.47,18019,36743,71719,612,2,"Not Retired","60+",1.95190920719593,19290
348,49,70,1970,7,"Female","480 Seventh Lane",40.22,-74.76,22747,46377,79980,719,3,"Not Retired","46-60",1.72456174396792,55083
633,36,69,1983,10,"Female","5506 Fifth Boulevard",33.88,-118.27,24611,50179,110515,743,1,"Not Retired","31-45",2.20241535303613,17941
1493,30,65,1989,11,"Male","136 Spruce Street",38.22,-122.55,26748,54537,121987,765,4,"Not Retired","18-30",2.23677503346352,54501
1161,23,66,1996,12,"Male","306 First Drive",28.68,-81.51,24155,49255,6557,823,2,"Not Retired","18-30",0.133123540757284,23729
217,42,65,1977,10,"Male","272 Burns Boulevard",41.77,-87.82,15221,31031,21853,744,7,"Not Retired","31-45",0.704231252618349,72571
1877,65,66,1955,1,"Male","190 Sixth Drive",32.92,-96.45,34659,70673,87605,714,4,"Not Retired","60+",1.23958230158618,62648
668,87,57,1932,10,"Female","8569 Wessex Boulevard",33.52,-86.79,13263,16342,1758,747,5,"Retired","60+",0.107575572145392,26251
533,22,65,1997,9,"Male","385 Lexington Boulevard",32.71,-102.65,15183,30961,42597,677,1,"Not Retired","18-30",1.37582765414554,8492
203,58,67,1961,3,"Female","407 Park Lane",32.9,-80.93,14864,30305,23392,776,3,"Not Retired","46-60",0.771885827421218,19000
1738,30,68,1989,3,"Male","5142 Little Creek Street",35.67,-97.41,33736,68784,198417,696,4,"Not Retired","18-30",2.88463886950454,70858
713,25,71,1994,8,"Female","224 Mountain View Boulevard",48.19,-114.38,17040,34745,26503,691,4,"Not Retired","18-30",0.762786012375881,49003
1631,18,67,2001,11,"Female","4735 Fifth Avenue",30.44,-91.12,31741,64715,174664,740,3,"Not Retired","18-30",2.69897241752299,62100
1487,59,69,1961,2,"Female","4793 North Street",40.69,-80.01,39464,80464,76261,727,3,"Not Retired","46-60",0.947765460330085,81872
1265,18,67,2002,2,"Female","72 El Camino Boulevard",40.43,-79.97,24400,49748,23161,748,1,"Not Retired","18-30",0.465566454932862,18321
370,61,58,1958,11,"Male","381 Fifth Lane",34.07,-117.62,16113,41904,12545,655,4,"Retired","60+",0.299374761359297,44427
1014,54,70,1965,9,"Female","393 Mountain View Lane",33.6,-117.82,96516,196784,437533,729,3,"Not Retired","46-60",2.22341755427271,140883
290,27,66,1992,3,"Female","293 Wessex Street",42.4,-83.6,49458,100837,61377,687,2,"Not Retired","18-30",0.60867538701072,82682
985,32,65,1987,6,"Male","7276 Fourth Drive",42.8,-83.71,25334,51654,95454,600,4,"Not Retired","31-45",1.84794981995586,47632
135,64,69,1955,6,"Female","327 Lafayette Boulevard",39.72,-82.59,18680,38088,51679,691,2,"Not Retired","60+",1.35683154799412,23827
307,18,69,2001,8,"Male","2846 Lake Avenue",30.23,-92.81,18082,36866,0,680,2,"Not Retired","18-30",0,20121
1783,52,70,1967,9,"Male","2093 Ocean Street",37.78,-122.24,18443,37607,63689,749,5,"Not Retired","46-60",1.69354109607254,55497
1321,49,66,1970,10,"Female","981 Fifth Boulevard",40.26,-103.79,16910,34480,58795,696,1,"Not Retired","46-60",1.70519141531323,18702
1511,43,66,1977,1,"Male","18 Norfolk Boulevard",43.07,-89.38,23680,48279,114254,719,2,"Not Retired","31-45",2.36653617514862,44662
900,36,65,1983,7,"Male","977 Littlewood Avenue",30.17,-85.67,16133,32896,69800,735,2,"Not Retired","31-45",2.12183852140078,4968
953,18,71,2001,6,"Male","993 Mountain View Avenue",33.78,-117.33,14667,29909,42832,664,2,"Not Retired","18-30",1.43207730114681,21790
233,37,64,1982,12,"Female","896 Rose Street",44.96,-93.26,23278,47464,83591,716,1,"Not Retired","31-45",1.76114528906118,13700
406,23,64,1996,5,"Female","2418 Mill Drive",37.3,-122,41750,85128,108678,641,1,"Not Retired","18-30",1.27664223287285,4200
1069,54,69,1965,9,"Male","3683 Fifth Street",35.3,-81.03,22487,45852,114746,615,2,"Not Retired","46-60",2.50252987874029,11092
180,33,67,1986,7,"Female","0 Elm Street",33.53,-112.18,13024,26556,43042,840,2,"Not Retired","31-45",1.62080132550083,13800
996,63,67,1956,11,"Female","2302 Catherine Lane",26.02,-80.16,19712,40194,107765,738,6,"Not Retired","60+",2.68112156043191,98179
1866,22,67,1998,2,"Male","213 Rose Drive",32.85,-96.96,30475,62135,75209,676,2,"Not Retired","18-30",1.21041281081516,27496
1981,48,65,1972,1,"Male","8975 Littlewood Boulevard",26.63,-81.99,19274,39303,23650,702,7,"Not Retired","46-60",0.601735236495942,117045
870,63,64,1956,3,"Female","1389 Park Lane",38.64,-76.9,35114,71593,132181,821,3,"Not Retired","60+",1.84628385456679,59097
16,75,67,1944,12,"Male","2890 Eighth Lane",41.88,-87.84,15451,22158,19101,681,5,"Retired","60+",0.862036284863255,35870
46,62,66,1957,6,"Male","20 Littlewood Boulevard",40.66,-73.84,26481,53996,98211,632,4,"Not Retired","60+",1.81885695236684,32393
800,28,73,1991,10,"Female","6413 Second Street",30.44,-87.18,12766,26025,23971,723,4,"Not Retired","18-30",0.921075888568684,50574
1968,25,69,1994,11,"Female","611 Elm Lane",40.94,-73.86,31299,63816,100128,775,1,"Not Retired","18-30",1.56901090635577,46
697,56,73,1964,1,"Female","889 Martin Luther King Avenue",35.72,-78.84,32485,66230,90248,742,3,"Not Retired","46-60",1.36264532689114,93749
1269,56,56,1963,10,"Male","336 Rose Avenue",41.83,-87.68,25365,36335,28929,676,2,"Retired","46-60",0.796174487408834,29150
1782,59,61,1961,2,"Female","4254 Plum Lane",33.74,-117.99,19438,39633,58586,777,3,"Not Retired","46-60",1.4782126006106,41151
1977,43,69,1976,8,"Female","825 Sussex Avenue",41.5,-87.5,28048,57185,0,773,3,"Not Retired","31-45",0,28332
1734,37,69,1982,11,"Male","185 Forest Drive",33.95,-84.54,40530,82637,84762,739,2,"Not Retired","31-45",1.02571487348282,81428
1913,60,57,1960,1,"Female","561 Martin Luther King Avenue",42.47,-83.49,34259,31121,32768,619,5,"Retired","46-60",1.05292246393111,89770
858,47,67,1972,11,"Male","335 Valley Stream Boulevard",29.5,-97.44,15092,30774,51428,700,3,"Not Retired","46-60",1.6711509715994,25389
606,48,67,1971,12,"Male","1773 Hill Street",39.4,-88.8,16300,33236,57549,747,1,"Not Retired","46-60",1.73152605608376,11398
1564,35,65,1984,10,"Male","55 Ocean View Street",35.2,-101.81,18613,37947,49951,683,3,"Not Retired","31-45",1.31633594223522,30120
1109,24,65,1995,11,"Male","8245 El Camino Lane",37.68,-97.34,21518,43875,128146,639,1,"Not Retired","18-30",2.92070655270655,9774
1301,26,66,1993,5,"Female","9530 Washington Street",38.1,-122.63,30335,61850,81158,728,9,"Not Retired","18-30",1.31217461600647,246947
1399,28,71,1991,5,"Male","221 Lexington Avenue",32.08,-81.1,19770,40314,131348,707,4,"Not Retired","18-30",3.25812372872947,41211
1775,26,67,1993,8,"Male","2484 Norfolk Drive",38.91,-75.43,18622,37968,55982,788,3,"Not Retired","18-30",1.47445217024863,43121
1673,41,67,1978,11,"Male","133 Grant Lane",43.46,-85.95,17145,34954,45456,772,3,"Not Retired","31-45",1.30045202265835,44479
1957,40,74,1979,9,"Male","1977 Lake Avenue",34.15,-118.6,47055,95945,222735,772,2,"Not Retired","31-45",2.32148626817447,16326
1033,18,58,2002,2,"Female","352 George Street",43.07,-82.49,16598,33844,42109,684,2,"Not Retired","18-30",1.24420872237324,28808
1024,66,67,1953,4,"Male","554 Grant Boulevard",37.69,-97.13,32162,65573,143069,739,4,"Not Retired","60+",2.18182788647767,101857
1441,40,66,1979,7,"Male","631 Ocean View Street",43.07,-89.38,23840,48609,43520,737,3,"Not Retired","31-45",0.89530745335226,41455
1103,45,70,1974,5,"Female","31 Jefferson Boulevard",47.09,-116.46,12618,25723,34007,746,3,"Not Retired","31-45",1.32204641760292,34178
431,19,72,2000,3,"Female","973 Federal Avenue",30.62,-87.89,25495,51984,79152,691,3,"Not Retired","18-30",1.52262234533703,62457
165,34,65,1986,2,"Male","95266 Bayview Drive",37.83,-122.22,52813,107683,225017,694,3,"Not Retired","31-45",2.08962417466081,65669
353,24,69,1996,2,"Female","932 Essex Street",33.83,-117.2,16109,32847,33514,721,2,"Not Retired","18-30",1.02030626845678,10374
1758,57,66,1963,1,"Male","126 Valley Drive",32.32,-90.2,11061,22556,43260,645,4,"Not Retired","46-60",1.91789324348289,39317
1266,35,54,1984,9,"Female","239 South Drive",39.51,-76.17,22590,46063,106528,618,1,"Not Retired","31-45",2.31265874997286,15119
1943,19,65,2000,9,"Female","1134 Valley Drive",41.71,-72.83,46762,95348,71972,706,3,"Not Retired","18-30",0.754834920501741,56464
792,28,65,1992,1,"Female","5863 Grant Avenue",38.71,-95.08,22158,45180,13168,698,2,"Not Retired","18-30",0.29145639663568,15198
1055,37,69,1982,4,"Male","3472 11th Avenue",28.5,-81.37,15137,30865,55079,594,1,"Not Retired","31-45",1.78451320265673,1543
1159,20,69,1999,11,"Male","5590 Bayview Avenue",43.05,-82.67,20377,41543,49021,732,4,"Not Retired","18-30",1.18000625857545,52390
1115,53,73,1966,9,"Male","94 Jefferson Drive",32.32,-95.3,14811,30198,40950,693,6,"Not Retired","46-60",1.35605006954103,51487
38,45,64,1974,12,"Female","582 Birch Boulevard",26.63,-81.85,19621,40006,72794,621,1,"Not Retired","31-45",1.81957706344048,3711
1027,53,68,1966,5,"Male","809 Mountain View Boulevard",38.88,-94.81,30232,61646,0,693,3,"Not Retired","46-60",0,73294
11,39,67,1980,10,"Female","6339 Fourth Street",39.45,-76.81,33175,67643,0,714,6,"Not Retired","31-45",0,120950
871,86,71,1933,5,"Female","81 Hill Avenue",42.38,-83.1,13820,22650,0,690,6,"Retired","60+",0,53471
746,63,67,1956,10,"Male","28136 Wessex Street",40.64,-73.94,14856,30288,42745,689,4,"Not Retired","60+",1.41128499735869,23393
1520,67,65,1952,10,"Male","8787 Rose Avenue",37.72,-122.44,22549,47213,1082,789,5,"Retired","60+",0.0229174168131659,58169
1372,76,66,1943,10,"Female","96 Ninth Lane",34.95,-96.75,15005,28215,18116,697,2,"Retired","60+",0.642069821017189,8230
1799,32,55,1987,4,"Male","3249 12th Drive",47.75,-122.04,51751,105515,192458,646,4,"Not Retired","31-45",1.82398711083732,137608
1905,36,68,1983,12,"Male","9340 Valley Street",27.48,-82.57,13972,28489,6087,808,4,"Not Retired","31-45",0.213661413177016,20624
130,63,69,1956,9,"Female","6429 Fifth Avenue",35.19,-80.83,39752,81048,156195,781,4,"Not Retired","60+",1.92719129404797,32810
1990,19,62,2000,12,"Female","849 George Avenue",38.77,-76.06,23180,47263,74853,726,2,"Not Retired","18-30",1.58375473414722,26523
593,19,71,2000,7,"Male","804 Seventh Boulevard",40.52,-122.32,16585,33816,77770,635,1,"Not Retired","18-30",2.29979891175775,7700
540,25,69,1994,9,"Female","76009 Valley Stream Boulevard",42.37,-87.86,15770,32160,62803,634,1,"Not Retired","18-30",1.95282960199005,146
1155,83,65,1936,8,"Female","387 Third Boulevard",31.5,-111.06,15462,29494,1196,689,5,"Retired","60+",0.0405506204651794,44060
663,68,63,1951,3,"Female","6398 Lake Lane",35.92,-86.84,36563,70554,39078,655,5,"Retired","60+",0.553873628709924,73428
1987,63,62,1956,9,"Male","786 12th Drive",42.13,-87.92,23098,33686,24997,488,2,"Retired","60+",0.742059015614795,32200
1484,92,72,1927,8,"Female","290 Forest Street",32.28,-110.73,30818,57732,2261,726,6,"Retired","60+",0.0391637220259128,125233
417,21,65,1998,3,"Male","320 Hillside Lane",35.1,-90,10730,21879,69638,762,1,"Not Retired","18-30",3.18286941816354,3000
298,28,65,1991,5,"Male","437 Ocean View Drive",40.79,-77.85,25031,51041,106989,686,1,"Not Retired","18-30",2.09613839854235,16486
306,18,69,2002,1,"Male","9850 Birch Drive",42.28,-71.16,34519,70380,106797,725,2,"Not Retired","18-30",1.51743393009378,80704
607,25,64,1994,8,"Male","55 Third Drive",41.92,-87.81,20902,42617,67590,771,5,"Not Retired","18-30",1.58598681277424,66971
1769,75,65,1944,7,"Male","177 Mill Boulevard",39.69,-74.25,21861,46031,8332,661,5,"Retired","60+",0.181008450826617,57219
698,55,66,1964,10,"Female","886 Little Creek Drive",42.62,-73.83,31927,65094,23909,699,3,"Not Retired","46-60",0.367299597505146,83842
896,27,65,1993,2,"Female","327 Seventh Boulevard",38.04,-84.45,18278,37268,50388,626,1,"Not Retired","18-30",1.35204464956531,1952
1975,53,67,1967,2,"Female","8224 Fourth Drive",41.55,-73.03,19114,38972,44098,738,3,"Not Retired","46-60",1.13153032946731,28291
645,63,64,1957,2,"Female","174 Catherine Boulevard",33.91,-118.23,13075,26661,42667,750,5,"Not Retired","60+",1.60035257492217,48115
227,48,66,1971,9,"Male","496 Hill Lane",44.96,-93.26,40364,82295,1555,736,4,"Not Retired","46-60",0.0188954371468497,133112
84,47,68,1972,9,"Male","23068 Park Street",36.49,-81.5,12630,25748,41455,738,3,"Not Retired","46-60",1.61002796333696,20616
1684,56,65,1963,11,"Male","27019 Madison Lane",36.34,-83.28,13668,27861,108313,782,5,"Not Retired","46-60",3.8876206884175,45664
745,18,72,2001,12,"Male","293 First Boulevard",34.06,-117.17,23820,48561,0,752,1,"Not Retired","18-30",0,11400
1508,66,69,1953,4,"Female","8929 Essex Drive",39.16,-86.52,19125,38999,64875,747,4,"Not Retired","60+",1.66350419241519,31645
1158,62,66,1957,4,"Male","1569 George Boulevard",35.78,-78.11,16239,33112,56040,716,2,"Not Retired","60+",1.69243778690505,21561
1427,34,66,1985,10,"Female","326 Elm Lane",35.19,-80.83,49477,100880,210445,770,1,"Not Retired","31-45",2.08609238699445,45377
352,22,65,1997,11,"Male","32 Valley Drive",34.21,-119.18,18175,37058,50548,680,2,"Not Retired","18-30",1.36402396243726,32605
1948,24,58,1995,3,"Male","4132 Norfolk Boulevard",38.95,-76.95,23166,47234,89154,685,3,"Not Retired","18-30",1.88749629504171,46805
724,45,72,1974,5,"Female","819 El Camino Boulevard",35.97,-96.76,17237,35142,107898,731,4,"Not Retired","31-45",3.07034317910193,37776
543,43,65,1976,3,"Female","742 Lake Street",43.37,-124.14,15069,30721,49961,749,3,"Not Retired","31-45",1.62628169655936,24854
1559,56,67,1963,12,"Female","607 George Boulevard",34.05,-84.67,28862,58846,126806,746,3,"Not Retired","46-60",2.15487883628454,49781
1199,29,68,1990,6,"Male","704 Eighth Avenue",42.93,-75.38,19161,39069,63884,720,2,"Not Retired","18-30",1.63515830965727,34160
1745,20,65,2000,2,"Female","8643 Lafayette Boulevard",33.94,-83.99,24252,49449,30723,728,3,"Not Retired","18-30",0.62130680094643,76663
1950,39,73,1980,3,"Female","63 Plum Street",36.69,-84.47,10942,22312,39445,720,5,"Not Retired","31-45",1.76788275367515,36362
1397,32,72,1987,4,"Male","5381 12th Boulevard",36.88,-94.87,17845,36388,92949,710,4,"Not Retired","31-45",2.5543860613389,50680
873,52,68,1967,8,"Female","65 Fifth Boulevard",28.24,-81.28,22086,45037,31792,710,3,"Not Retired","46-60",0.70590847525368,62729
1728,47,63,1972,10,"Female","2614 Eighth Lane",44.35,-89.07,18937,38615,74337,601,4,"Not Retired","46-60",1.92508092710087,30530
299,40,61,1979,7,"Male","196 Plum Lane",40.84,-73.87,13845,28229,55675,622,5,"Not Retired","31-45",1.97226256686386,45013
1742,58,67,1961,11,"Female","444 Maple Avenue",40.05,-86.03,24638,50232,1218,751,4,"Not Retired","46-60",0.024247491638796,50572
1004,59,66,1960,5,"Male","868 Maple Drive",37.2,-87.17,16847,34350,61639,705,3,"Not Retired","46-60",1.79443959243086,45243
301,47,69,1972,11,"Male","6009 River Avenue",34.24,-84.49,25654,52308,135319,679,1,"Not Retired","46-60",2.58696566490785,21000
1011,27,66,1992,8,"Female","2058 Spruce Street",27.75,-82.64,15724,32061,58904,676,1,"Not Retired","18-30",1.83724774648327,21470
906,75,69,1945,2,"Male","6930 East Lane",40.57,-112.33,21749,21154,5764,705,6,"Retired","60+",0.272478018341685,64158
110,52,72,1967,10,"Female","31204 El Camino Lane",30.26,-97.74,25594,52186,42852,737,4,"Not Retired","46-60",0.821139769286782,62122
1073,43,70,1976,5,"Female","967 First Avenue",41.19,-85.7,17294,35264,70328,770,2,"Not Retired","31-45",1.99432849364791,26061
705,84,71,1935,9,"Female","136 Hillside Avenue",37.91,-122.01,42234,79870,4031,609,2,"Retired","60+",0.0504695129585577,5223
820,70,59,1949,12,"Female","669 South Street",41.7,-70.3,26762,41902,29713,633,5,"Retired","60+",0.709106963868073,48225
1188,24,61,1995,8,"Female","66992 Second Street",36.3,-115.24,31374,63969,128412,626,1,"Not Retired","18-30",2.00740983914083,52
1128,47,68,1972,7,"Male","208 Park Avenue",44.53,-72,16976,34606,23909,680,5,"Not Retired","46-60",0.690891752875224,53810
1479,32,60,1987,11,"Male","335 Main Street",33.72,-84.42,13059,26631,33950,805,1,"Not Retired","31-45",1.27483008523901,2800
1594,39,64,1980,11,"Male","532 12th Drive",27.98,-80.66,17645,35978,49366,643,3,"Not Retired","31-45",1.37211629329034,40372
1485,64,69,1955,10,"Male","1350 Lake Drive",33.41,-96.57,24402,49756,89743,618,4,"Not Retired","60+",1.80366186992524,43025
1390,37,71,1982,6,"Male","691 First Lane",36.17,-86.78,29868,60897,85771,850,3,"Not Retired","31-45",1.40846018687292,81201
644,58,65,1961,3,"Female","511 Grant Avenue",34.42,-84.11,20581,41963,53857,741,1,"Not Retired","46-60",1.28344017348617,7700
1912,37,60,1982,7,"Female","3510 Mountain View Street",44.96,-93.26,22059,44976,134335,684,1,"Not Retired","31-45",2.98681519032373,18937
1584,27,69,1992,9,"Male","9264 Lake Avenue",32.69,-97.01,22922,46733,34333,692,2,"Not Retired","18-30",0.734662872060428,36262
1803,26,60,1993,4,"Female","596 Mountain View Lane",41.66,-70.34,23129,47160,64193,578,1,"Not Retired","18-30",1.36117472434266,16858
