id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,retirement_status,age_group,Debt_to_Income_Ratio,id.y,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,PIN_Change_Due
1718,81,67,1938,11,Female,766 Third Drive,34.02,-117.89,22681,33483,196,698,5,Retired,60+,0.00585371681151629,2029,Mastercard,Debit,5804499644308599,07/2023,258,NO,2,27480,2002-03-01T00:00:00Z,2008,Yes
1718,81,67,1938,11,Female,766 Third Drive,34.02,-117.89,22681,33483,196,698,5,Retired,60+,0.00585371681151629,2379,Mastercard,Debit,5766352389579834,02/2020,992,YES,1,26743,2019-03-01T00:00:00Z,2019,No
1718,81,67,1938,11,Female,766 Third Drive,34.02,-117.89,22681,33483,196,698,5,Retired,60+,0.00585371681151629,2732,Visa,Debit,4242015583697294,06/2020,928,YES,1,31463,2014-04-01T00:00:00Z,2014,Yes
1718,81,67,1938,11,Female,766 Third Drive,34.02,-117.89,22681,33483,196,698,5,Retired,60+,0.00585371681151629,4706,Mastercard,Debit,5191030913182493,06/2024,360,YES,1,16055,2009-09-01T00:00:00Z,2009,Yes
68,42,70,1977,10,Male,58 Birch Lane,41.55,-90.6,20599,41997,0,704,3,Not Retired,31-45,0,27,Visa,Credit,4099623033306950,09/2021,74,YES,2,9900,2002-01-01T00:00:00Z,2019,No
68,42,70,1977,10,Male,58 Birch Lane,41.55,-90.6,20599,41997,0,704,3,Not Retired,31-45,0,4648,Visa,Debit,4281200324251212,07/2013,865,YES,2,21587,2007-09-01T00:00:00Z,2007,Yes
68,42,70,1977,10,Male,58 Birch Lane,41.55,-90.6,20599,41997,0,704,3,Not Retired,31-45,0,5435,Visa,Credit,4411456925570768,11/2022,922,YES,2,15800,2005-11-01T00:00:00Z,2011,Yes
1075,36,67,1983,12,Female,5695 Fifth Street,38.22,-85.74,25258,51500,102286,672,3,Not Retired,31-45,1.9861359223300972,3287,Mastercard,Debit,5202477865497336,04/2022,861,YES,1,29964,2005-06-01T00:00:00Z,2014,Yes
1075,36,67,1983,12,Female,5695 Fifth Street,38.22,-85.74,25258,51500,102286,672,3,Not Retired,31-45,1.9861359223300972,4761,Mastercard,Credit,5089768442116305,07/2023,686,YES,2,11200,2010-09-01T00:00:00Z,2010,Yes
1075,36,67,1983,12,Female,5695 Fifth Street,38.22,-85.74,25258,51500,102286,672,3,Not Retired,31-45,1.9861359223300972,5286,Mastercard,Debit,5767339719294372,12/2021,669,NO,2,26753,2014-10-01T00:00:00Z,2014,Yes
1711,26,67,1993,12,Male,1941 Ninth Street,45.51,-122.64,26790,54623,114711,728,1,Not Retired,18-30,2.100049429727404,744,Visa,Debit,4595831603224644,05/2023,689,NO,2,17480,2020-01-01T00:00:00Z,2020,No
1116,81,66,1938,7,Female,11 Spruce Avenue,40.32,-75.32,26273,42509,2895,755,5,Retired,60+,0.06810322519936955,5559,Mastercard,Debit,5341049613275152,09/2021,396,YES,2,26546,2009-11-01T00:00:00Z,2009,Yes
1116,81,66,1938,7,Female,11 Spruce Avenue,40.32,-75.32,26273,42509,2895,755,5,Retired,60+,0.06810322519936955,4905,Mastercard,Debit,5668831527649353,01/2021,356,YES,1,23253,2017-09-01T00:00:00Z,2017,Yes
1116,81,66,1938,7,Female,11 Spruce Avenue,40.32,-75.32,26273,42509,2895,755,5,Retired,60+,0.06810322519936955,79,Visa,Credit,4400056931148232,02/2021,497,YES,1,16100,2005-01-01T00:00:00Z,2014,Yes
1116,81,66,1938,7,Female,11 Spruce Avenue,40.32,-75.32,26273,42509,2895,755,5,Retired,60+,0.06810322519936955,301,Visa,Credit,4808554251869440,02/2021,921,YES,2,8700,2012-01-01T00:00:00Z,2012,Yes
1116,81,66,1938,7,Female,11 Spruce Avenue,40.32,-75.32,26273,42509,2895,755,5,Retired,60+,0.06810322519936955,3115,Mastercard,Debit,5224739362243611,01/2019,922,YES,1,29333,2012-05-01T00:00:00Z,2012,Yes
1752,34,60,1986,1,Female,887 Grant Street,29.97,-92.12,18730,38190,81262,810,1,Not Retired,31-45,2.127834511652265,3880,Mastercard,Debit,5294178176133532,07/2024,265,YES,2,9496,2009-07-01T00:00:00Z,2012,Yes
192,27,66,1992,6,Male,888 Fifth Lane,38.65,-121.25,27548,56164,15224,761,2,Not Retired,18-30,0.2710633145787337,1766,Visa,Debit,4857799018106614,07/2021,930,YES,1,25499,2020-02-01T00:00:00Z,2020,No
192,27,66,1992,6,Male,888 Fifth Lane,38.65,-121.25,27548,56164,15224,761,2,Not Retired,18-30,0.2710633145787337,1767,Visa,Debit,4324062360619923,02/2020,358,YES,1,18641,2020-02-01T00:00:00Z,2020,No
640,29,63,1990,9,Female,8677 Littlewood Lane,40.42,-104.74,22427,45727,94016,629,1,Not Retired,18-30,2.056028167166007,745,Visa,Debit,4852639114720724,05/2023,995,YES,1,26019,2020-01-01T00:00:00Z,2020,No
1679,18,67,2002,1,Female,829 Fourth Boulevard,41.76,-71.48,33914,69149,89214,776,1,Not Retired,18-30,1.2901705013810756,1459,Mastercard,Debit,5656383455895230,01/2021,547,YES,1,25845,2020-02-01T00:00:00Z,2020,No
1094,34,62,1985,10,Male,74786 Jefferson Drive,44.75,-85.6,20325,41442,78833,712,3,Not Retired,31-45,1.902248926210125,138,Visa,Debit,4556928160477229,06/2023,64,YES,2,2365,2007-01-01T00:00:00Z,2009,Yes
1094,34,62,1985,10,Male,74786 Jefferson Drive,44.75,-85.6,20325,41442,78833,712,3,Not Retired,31-45,1.902248926210125,3755,Mastercard,Debit,5515782790823587,06/2023,419,YES,2,18684,2006-07-01T00:00:00Z,2017,Yes
1094,34,62,1985,10,Male,74786 Jefferson Drive,44.75,-85.6,20325,41442,78833,712,3,Not Retired,31-45,1.902248926210125,1768,Visa,Credit,4508388296516458,02/2021,364,NO,2,7400,2020-02-01T00:00:00Z,2020,No
1590,48,62,1971,5,Female,781 East Street,29.45,-98.5,10059,20513,32509,599,1,Not Retired,46-60,1.5847998830010237,5924,Mastercard,Debit,5548265564669334,12/2024,145,YES,2,4147,2008-12-01T00:00:00Z,2016,Yes
1660,41,68,1978,4,Female,40 Washington Drive,36.73,-102.51,11342,23123,5079,723,6,Not Retired,31-45,0.21965142931280543,6074,Visa,Debit (Prepaid),4986270376099447,04/2022,385,YES,1,76,2012-12-01T00:00:00Z,2012,Yes
1660,41,68,1978,4,Female,40 Washington Drive,36.73,-102.51,11342,23123,5079,723,6,Not Retired,31-45,0.21965142931280543,5923,Discover,Credit,6726060094896113,01/2009,105,NO,1,4700,2008-12-01T00:00:00Z,2014,Yes
1660,41,68,1978,4,Female,40 Washington Drive,36.73,-102.51,11342,23123,5079,723,6,Not Retired,31-45,0.21965142931280543,4223,Visa,Credit,4157109762296149,06/2021,433,YES,2,5800,2007-08-01T00:00:00Z,2011,Yes
1660,41,68,1978,4,Female,40 Washington Drive,36.73,-102.51,11342,23123,5079,723,6,Not Retired,31-45,0.21965142931280543,4455,Mastercard,Debit,5231462717450524,03/2024,754,YES,2,12082,2016-08-01T00:00:00Z,2016,Yes
1660,41,68,1978,4,Female,40 Washington Drive,36.73,-102.51,11342,23123,5079,723,6,Not Retired,31-45,0.21965142931280543,3234,Mastercard,Credit,5074836567307562,03/2023,741,NO,2,6000,2002-06-01T00:00:00Z,2010,Yes
1660,41,68,1978,4,Female,40 Washington Drive,36.73,-102.51,11342,23123,5079,723,6,Not Retired,31-45,0.21965142931280543,1005,Visa,Debit,4986369179342271,11/2009,367,YES,1,620,2002-02-01T00:00:00Z,2014,Yes
1747,54,71,1966,1,Male,3994 Hillside Drive,32.15,-94.79,17898,36497,38333,719,6,Not Retired,46-60,1.0503055045620189,151,Mastercard,Debit,5892013969159900,08/2022,879,YES,1,14499,2008-01-01T00:00:00Z,2008,Yes
1747,54,71,1966,1,Male,3994 Hillside Drive,32.15,-94.79,17898,36497,38333,719,6,Not Retired,46-60,1.0503055045620189,4198,Mastercard,Debit,5179157151686144,07/2023,457,YES,2,12332,2007-08-01T00:00:00Z,2009,Yes
1747,54,71,1966,1,Male,3994 Hillside Drive,32.15,-94.79,17898,36497,38333,719,6,Not Retired,46-60,1.0503055045620189,4403,Mastercard,Debit,5569640141329524,09/2024,904,YES,1,18424,2013-08-01T00:00:00Z,2013,Yes
1747,54,71,1966,1,Male,3994 Hillside Drive,32.15,-94.79,17898,36497,38333,719,6,Not Retired,46-60,1.0503055045620189,4120,Visa,Credit,4708914311449293,07/2023,149,NO,1,15400,2003-08-01T00:00:00Z,2008,Yes
1747,54,71,1966,1,Male,3994 Hillside Drive,32.15,-94.79,17898,36497,38333,719,6,Not Retired,46-60,1.0503055045620189,4224,Visa,Debit,4795724941278913,02/2022,136,YES,2,14548,2007-08-01T00:00:00Z,2013,Yes
1747,54,71,1966,1,Male,3994 Hillside Drive,32.15,-94.79,17898,36497,38333,719,6,Not Retired,46-60,1.0503055045620189,4895,Mastercard,Credit,5300159511214994,12/2016,740,YES,2,10100,2016-09-01T00:00:00Z,2016,Yes
153,76,71,1943,8,Female,172 Birch Street,35.29,-111.32,21950,27484,16803,660,4,Retired,60+,0.611373890263426,1028,Discover,Credit,6580244636542196,04/2011,416,YES,1,11200,2004-02-01T00:00:00Z,2008,Yes
153,76,71,1943,8,Female,172 Birch Street,35.29,-111.32,21950,27484,16803,660,4,Retired,60+,0.611373890263426,5956,Mastercard,Debit,5032457975030967,10/2024,240,YES,2,20291,2009-12-01T00:00:00Z,2011,Yes
153,76,71,1943,8,Female,172 Birch Street,35.29,-111.32,21950,27484,16803,660,4,Retired,60+,0.611373890263426,107,Visa,Debit,4382324870900908,08/2018,852,YES,1,32092,2006-01-01T00:00:00Z,2010,Yes
153,76,71,1943,8,Female,172 Birch Street,35.29,-111.32,21950,27484,16803,660,4,Retired,60+,0.611373890263426,440,Mastercard,Debit,5456808094753905,02/2020,217,YES,1,20463,2020-01-01T00:00:00Z,2020,No
429,22,68,1997,11,Male,8145 Spruce Boulevard,35.19,-80.83,26481,53995,89056,683,3,Not Retired,18-30,1.649337901657561,746,Visa,Debit,4465362453388909,08/2022,738,YES,1,15802,2020-01-01T00:00:00Z,2020,No
429,22,68,1997,11,Male,8145 Spruce Boulevard,35.19,-80.83,26481,53995,89056,683,3,Not Retired,18-30,1.649337901657561,1769,Visa,Debit,4668447208616693,02/2020,314,NO,2,4612,2020-02-01T00:00:00Z,2020,No
429,22,68,1997,11,Male,8145 Spruce Boulevard,35.19,-80.83,26481,53995,89056,683,3,Not Retired,18-30,1.649337901657561,421,Discover,Credit,6377595394803324,07/2020,675,YES,2,19900,2020-01-01T00:00:00Z,2020,No
511,66,68,1953,10,Male,153 Tenth Lane,32.21,-110.88,17460,35602,55369,661,5,Not Retired,60+,1.5552216167631032,974,Mastercard,Debit (Prepaid),5117090980312402,10/2020,42,YES,1,73,2000-02-01T00:00:00Z,2012,Yes
511,66,68,1953,10,Male,153 Tenth Lane,32.21,-110.88,17460,35602,55369,661,5,Not Retired,60+,1.5552216167631032,4707,Mastercard,Debit,5377858405611171,01/2024,24,YES,1,11858,2009-09-01T00:00:00Z,2010,Yes
511,66,68,1953,10,Male,153 Tenth Lane,32.21,-110.88,17460,35602,55369,661,5,Not Retired,60+,1.5552216167631032,7,Mastercard,Debit,5585238056278288,03/2005,749,YES,1,9664,1998-01-01T00:00:00Z,2011,Yes
511,66,68,1953,10,Male,153 Tenth Lane,32.21,-110.88,17460,35602,55369,661,5,Not Retired,60+,1.5552216167631032,2212,Mastercard,Debit,5355281784290567,06/2020,810,YES,1,8367,2009-03-01T00:00:00Z,2009,Yes
511,66,68,1953,10,Male,153 Tenth Lane,32.21,-110.88,17460,35602,55369,661,5,Not Retired,60+,1.5552216167631032,1038,Visa,Credit,4150093118072730,06/2022,135,YES,2,6100,2004-02-01T00:00:00Z,2009,Yes
309,28,57,1991,8,Male,2473 Lake Avenue,32.07,-82.91,12321,25122,43205,819,3,Not Retired,18-30,1.719807340179922,1460,Mastercard,Debit,5979295728871785,02/2020,630,YES,3,9944,2020-02-01T00:00:00Z,2020,No
309,28,57,1991,8,Male,2473 Lake Avenue,32.07,-82.91,12321,25122,43205,819,3,Not Retired,18-30,1.719807340179922,747,Visa,Credit,4473643731469839,01/2020,771,YES,1,7900,2020-01-01T00:00:00Z,2020,No
309,28,57,1991,8,Male,2473 Lake Avenue,32.07,-82.91,12321,25122,43205,819,3,Not Retired,18-30,1.719807340179922,1770,Visa,Credit,4800116569994473,12/2020,201,YES,1,5600,2020-02-01T00:00:00Z,2020,No
1946,76,66,1943,6,Male,9186 Washington Avenue,41.47,-81.67,19524,41109,21486,698,2,Retired,60+,0.5226592716923302,3679,Visa,Debit,4869845530765333,08/2024,701,YES,2,4488,2002-07-01T00:00:00Z,2015,Yes
1946,76,66,1943,6,Male,9186 Washington Avenue,41.47,-81.67,19524,41109,21486,698,2,Retired,60+,0.5226592716923302,5701,Visa,Credit,4231526239204033,02/2020,499,YES,2,12500,2014-11-01T00:00:00Z,2014,Yes
1674,70,64,1949,4,Male,5073 Wessex Avenue,35.49,-90.35,14172,26858,11245,712,2,Retired,60+,0.4186834462729913,4510,Mastercard,Debit,5813611925507601,12/2020,734,YES,2,23432,2001-09-01T00:00:00Z,2008,Yes
1674,70,64,1949,4,Male,5073 Wessex Avenue,35.49,-90.35,14172,26858,11245,712,2,Retired,60+,0.4186834462729913,2873,Amex,Credit,366520954874839,05/2022,447,YES,2,8800,2005-05-01T00:00:00Z,2011,Yes
482,45,65,1975,1,Male,195 Eighth Boulevard,42.39,-122.93,17131,34929,63849,714,1,Not Retired,31-45,1.8279653010392511,1461,Mastercard,Credit,5392697458480962,02/2020,886,YES,2,12100,2020-02-01T00:00:00Z,2020,No
877,36,63,1983,8,Female,801 Mill Boulevard,33.44,-111.85,16829,34317,61826,610,3,Not Retired,31-45,1.8016143602296235,442,Mastercard,Debit,5048151330736425,02/2020,931,YES,1,9708,2020-01-01T00:00:00Z,2020,No
877,36,63,1983,8,Female,801 Mill Boulevard,33.44,-111.85,16829,34317,61826,610,3,Not Retired,31-45,1.8016143602296235,3877,Amex,Credit,371643368691556,11/2021,683,YES,2,12000,2009-07-01T00:00:00Z,2011,Yes
877,36,63,1983,8,Female,801 Mill Boulevard,33.44,-111.85,16829,34317,61826,610,3,Not Retired,31-45,1.8016143602296235,2296,Mastercard,Debit,5700734711260263,11/2023,230,YES,1,11973,2012-03-01T00:00:00Z,2012,Yes
128,40,66,1979,4,Female,6914 Wessex Avenue,29.76,-95.38,15389,31377,59615,722,2,Not Retired,31-45,1.8999585683781113,5048,Mastercard,Debit,5389442391430673,02/2022,658,YES,2,13601,2006-10-01T00:00:00Z,2014,Yes
128,40,66,1979,4,Female,6914 Wessex Avenue,29.76,-95.38,15389,31377,59615,722,2,Not Retired,31-45,1.8999585683781113,1462,Mastercard,Credit,5079116875907423,01/2024,849,YES,2,7800,2020-02-01T00:00:00Z,2020,No
775,37,58,1982,9,Male,776 Norfolk Boulevard,34.17,-118.46,21402,43638,104052,627,1,Not Retired,31-45,2.3844355836656126,4269,Visa,Debit,4390425683290569,10/2023,790,YES,2,17816,2008-08-01T00:00:00Z,2016,Yes
1536,41,67,1978,11,Male,2015 Bayview Avenue,36.15,-85.5,15955,32531,38260,766,2,Not Retired,31-45,1.1761089422397095,5188,Mastercard,Debit,5217568630125704,03/2021,625,NO,2,17707,2010-10-01T00:00:00Z,2010,Yes
1536,41,67,1978,11,Male,2015 Bayview Avenue,36.15,-85.5,15955,32531,38260,766,2,Not Retired,31-45,1.1761089422397095,2874,Amex,Credit,397856635669220,11/2020,2,YES,1,9500,2005-05-01T00:00:00Z,2009,Yes
140,37,72,1983,2,Female,108 Washington Street,36.28,-86.83,20657,42120,72801,739,4,Not Retired,31-45,1.7284188034188035,3041,Mastercard,Debit,5529182104663869,01/2022,182,YES,1,19110,2010-05-01T00:00:00Z,2011,Yes
140,37,72,1983,2,Female,108 Washington Street,36.28,-86.83,20657,42120,72801,739,4,Not Retired,31-45,1.7284188034188035,5312,Mastercard,Debit,5489017664251289,08/2023,196,YES,1,13428,2016-10-01T00:00:00Z,2016,Yes
140,37,72,1983,2,Female,108 Washington Street,36.28,-86.83,20657,42120,72801,739,4,Not Retired,31-45,1.7284188034188035,4150,Mastercard,Debit,5793675314684781,06/2022,43,YES,1,24608,2005-08-01T00:00:00Z,2009,Yes
140,37,72,1983,2,Female,108 Washington Street,36.28,-86.83,20657,42120,72801,739,4,Not Retired,31-45,1.7284188034188035,152,Mastercard,Debit,5845373196638993,09/2022,111,YES,1,13441,2008-01-01T00:00:00Z,2011,Yes
1884,18,64,2001,5,Male,660 Seventh Drive,39.98,-82.98,28092,57281,89114,850,1,Not Retired,18-30,1.5557340130235155,443,Mastercard,Debit (Prepaid),5750288075891808,02/2020,788,YES,2,74,2020-01-01T00:00:00Z,2020,No
1874,49,66,1970,9,Male,7505 Tenth Boulevard,25.77,-80.2,18828,38390,87923,783,4,Not Retired,46-60,2.2902578796561603,3377,Mastercard,Debit,5429789020188285,10/2012,674,YES,1,17872,2008-06-01T00:00:00Z,2008,Yes
1874,49,66,1970,9,Male,7505 Tenth Boulevard,25.77,-80.2,18828,38390,87923,783,4,Not Retired,46-60,2.2902578796561603,5789,Mastercard,Credit,5301114615829913,09/2022,425,YES,1,12900,2003-12-01T00:00:00Z,2010,Yes
1874,49,66,1970,9,Male,7505 Tenth Boulevard,25.77,-80.2,18828,38390,87923,783,4,Not Retired,46-60,2.2902578796561603,2106,Mastercard,Debit,5571104183564029,05/2024,52,YES,2,25264,2006-03-01T00:00:00Z,2020,No
1874,49,66,1970,9,Male,7505 Tenth Boulevard,25.77,-80.2,18828,38390,87923,783,4,Not Retired,46-60,2.2902578796561603,2078,Mastercard,Debit,5401948301255038,12/2022,920,YES,2,20634,2005-03-01T00:00:00Z,2007,Yes
1310,33,69,1986,9,Female,4930 Birch Drive,33.92,-78.02,17498,35670,58182,751,2,Not Retired,31-45,1.6311185870479394,5866,Visa,Credit,4295364044956974,04/2007,656,YES,2,12200,2006-12-01T00:00:00Z,2010,Yes
1310,33,69,1986,9,Female,4930 Birch Drive,33.92,-78.02,17498,35670,58182,751,2,Not Retired,31-45,1.6311185870479394,173,Visa,Credit,4737484014371342,02/2010,221,YES,2,5500,2008-01-01T00:00:00Z,2008,Yes
1689,21,66,1998,9,Female,93 Plum Lane,41.29,-72.36,30281,61746,154817,637,2,Not Retired,18-30,2.507320312246947,1771,Visa,Credit,4509365132510769,03/2020,281,NO,2,6600,2020-02-01T00:00:00Z,2020,No
1689,21,66,1998,9,Female,93 Plum Lane,41.29,-72.36,30281,61746,154817,637,2,Not Retired,18-30,2.507320312246947,6132,Mastercard,Debit,5068255294282305,11/2020,890,YES,1,25815,2017-12-01T00:00:00Z,2017,Yes
379,47,65,1972,11,Female,837 Lincoln Avenue,30.68,-88.04,21331,43496,114563,765,3,Not Retired,46-60,2.633874379253265,327,Amex,Credit,354813103334804,06/2021,527,YES,2,8400,2014-01-01T00:00:00Z,2014,Yes
379,47,65,1972,11,Female,837 Lincoln Avenue,30.68,-88.04,21331,43496,114563,765,3,Not Retired,46-60,2.633874379253265,2019,Mastercard,Debit,5910929635230868,02/2020,525,YES,1,21628,2001-03-01T00:00:00Z,2008,Yes
379,47,65,1972,11,Female,837 Lincoln Avenue,30.68,-88.04,21331,43496,114563,765,3,Not Retired,46-60,2.633874379253265,3881,Mastercard,Debit,5400182448188961,10/2021,412,YES,1,24232,2009-07-01T00:00:00Z,2009,Yes
34,41,55,1978,8,Male,7467 Spruce Drive,38.48,-121.34,25431,51854,72162,737,2,Not Retired,31-45,1.3916380607089134,1166,Mastercard,Debit,5039048842448184,11/2023,339,YES,2,10775,2009-02-01T00:00:00Z,2010,Yes
34,41,55,1978,8,Male,7467 Spruce Drive,38.48,-121.34,25431,51854,72162,737,2,Not Retired,31-45,1.3916380607089134,3342,Mastercard,Debit (Prepaid),5672012369002302,02/2020,598,YES,2,105,2007-06-01T00:00:00Z,2013,Yes
822,51,68,1968,4,Female,6323 Sussex Boulevard,32.61,-117.03,16942,34540,22641,793,5,Not Retired,46-60,0.6555008685581935,5622,Visa,Credit,4336733185475861,01/2021,221,NO,2,7100,2010-11-01T00:00:00Z,2010,Yes
822,51,68,1968,4,Female,6323 Sussex Boulevard,32.61,-117.03,16942,34540,22641,793,5,Not Retired,46-60,0.6555008685581935,5424,Mastercard,Debit,5985582173054292,07/2024,951,YES,1,29351,2005-11-01T00:00:00Z,2007,Yes
822,51,68,1968,4,Female,6323 Sussex Boulevard,32.61,-117.03,16942,34540,22641,793,5,Not Retired,46-60,0.6555008685581935,2558,Mastercard,Debit,5281056728185174,03/2020,835,YES,2,15125,2008-04-01T00:00:00Z,2012,Yes
822,51,68,1968,4,Female,6323 Sussex Boulevard,32.61,-117.03,16942,34540,22641,793,5,Not Retired,46-60,0.6555008685581935,5385,Mastercard,Credit,5615660494634705,11/2021,865,YES,2,8000,2003-11-01T00:00:00Z,2008,Yes
822,51,68,1968,4,Female,6323 Sussex Boulevard,32.61,-117.03,16942,34540,22641,793,5,Not Retired,46-60,0.6555008685581935,5596,Mastercard,Debit (Prepaid),5314878099448745,05/2011,994,YES,1,83,2010-11-01T00:00:00Z,2010,Yes
1499,46,62,1973,11,Male,8738 Fourth Street,41.97,-88.14,20248,41287,88151,662,1,Not Retired,46-60,2.1350788383752755,3991,Amex,Credit,311095486859536,01/2024,536,YES,2,23700,2012-07-01T00:00:00Z,2012,Yes
1780,46,70,1973,10,Male,9344 Mill Drive,36.62,-121.82,18663,38054,63293,666,1,Not Retired,46-60,1.663241709150155,6126,Visa,Credit,4624747592911129,02/2024,986,YES,2,700,2016-12-01T00:00:00Z,2016,Yes
1806,59,62,1961,2,Female,299 11th Street,42.31,-71.64,39418,80371,108499,822,1,Not Retired,46-60,1.3499769817471476,3756,Mastercard,Debit,5595562388674401,07/2024,594,YES,2,7488,2006-07-01T00:00:00Z,2016,Yes
1844,79,72,1941,2,Male,829 Birch Boulevard,27.8,-97.39,23608,37503,14272,706,5,Retired,60+,0.3805562221688932,6019,Visa,Debit (Prepaid),4587476056357151,07/2023,858,YES,2,22,2010-12-01T00:00:00Z,2010,Yes
1844,79,72,1941,2,Male,829 Birch Boulevard,27.8,-97.39,23608,37503,14272,706,5,Retired,60+,0.3805562221688932,4421,Discover,Credit,6521426249819196,11/2020,608,YES,1,13100,2014-08-01T00:00:00Z,2014,Yes
1844,79,72,1941,2,Male,829 Birch Boulevard,27.8,-97.39,23608,37503,14272,706,5,Retired,60+,0.3805562221688932,3702,Visa,Debit,4199712815274632,10/2024,440,YES,1,16516,2003-07-01T00:00:00Z,2011,Yes
1844,79,72,1941,2,Male,829 Birch Boulevard,27.8,-97.39,23608,37503,14272,706,5,Retired,60+,0.3805562221688932,2854,Mastercard,Credit,5172743861765175,07/2016,906,YES,1,15700,2004-05-01T00:00:00Z,2011,Yes
1844,79,72,1941,2,Male,829 Birch Boulevard,27.8,-97.39,23608,37503,14272,706,5,Retired,60+,0.3805562221688932,4114,Mastercard,Debit,5214643602729093,05/2024,474,YES,1,21058,2003-08-01T00:00:00Z,2007,Yes
1852,57,75,1962,12,Male,41011 Seventh Boulevard,33.27,-111.94,32056,65357,21844,685,4,Not Retired,46-60,0.3342258671603654,28,Visa,Debit,4013876625955765,10/2023,543,YES,2,36425,2002-01-01T00:00:00Z,2004,Yes
1852,57,75,1962,12,Male,41011 Seventh Boulevard,33.27,-111.94,32056,65357,21844,685,4,Not Retired,46-60,0.3342258671603654,6127,Visa,Debit (Prepaid),4966050979388902,03/2021,585,YES,2,91,2016-12-01T00:00:00Z,2016,Yes
1852,57,75,1962,12,Male,41011 Seventh Boulevard,33.27,-111.94,32056,65357,21844,685,4,Not Retired,46-60,0.3342258671603654,2477,Mastercard,Credit,5247576622089394,09/2021,379,YES,1,13400,2005-04-01T00:00:00Z,2014,Yes
1852,57,75,1962,12,Male,41011 Seventh Boulevard,33.27,-111.94,32056,65357,21844,685,4,Not Retired,46-60,0.3342258671603654,2632,Mastercard,Credit,5911319900289832,04/2021,37,YES,2,21600,2010-04-01T00:00:00Z,2010,Yes
1231,26,52,1994,1,Female,613 Little Creek Lane,26.41,-81.42,10819,22066,38967,842,1,Not Retired,18-30,1.7659294842744493,1463,Mastercard,Debit,5058769177189803,02/2020,12,NO,1,9090,2020-02-01T00:00:00Z,2020,No
970,42,66,1977,11,Male,1942 Rose Avenue,29.1,-81,21916,44681,42011,770,3,Not Retired,31-45,0.9402430563326694,5679,Visa,Debit,4682877628388639,02/2023,846,NO,1,25942,2012-11-01T00:00:00Z,2012,Yes
970,42,66,1977,11,Male,1942 Rose Avenue,29.1,-81,21916,44681,42011,770,3,Not Retired,31-45,0.9402430563326694,1012,Mastercard,Credit,5882842508952744,07/2019,614,YES,2,10700,2003-02-01T00:00:00Z,2013,Yes
